yaw1,yaw2,pitch1,pitch2,intensity
45,135,0,1,244979810.55050063
45,135,1,-2,0.0
45,135,1,-1,33277637.0073061
45,135,1,0,189769836.8910833
45,135,1,1,394431846.8474043
45,136,-2,-2,156608215.5970152
45,136,-2,-1,65502775.59298815
45,136,-2,0,0.0
45,136,-2,1,0.0
45,136,-1,-2,150978709.12549147
45,136,-1,-1,172696455.90117955
45,136,-1,0,90607797.58503509
45,136,-1,1,0.0
45,136,0,-2,16572840.601726554
45,136,0,-1,120363974.38201886
45,136,0,0,174023867.5405798
45,136,0,1,120234935.88116825
45,136,1,-2,0.0
45,136,1,-1,0.0
45,136,1,0,90862913.51339935
45,136,1,1,172841832.85221422
46,133,-2,-2,0.0
46,133,-2,-1,0.0
46,133,-2,0,0.0
46,133,-2,1,0.0
46,133,-1,-2,0.0
46,133,-1,-1,0.0
46,133,-1,0,0.0
46,133,-1,1,0.0
46,133,0,-2,0.0
46,133,0,-1,0.0
46,133,0,0,0.0
46,133,0,1,0.0
46,133,1,-2,0.0
46,133,1,-1,0.0
46,133,1,0,0.0
46,133,1,1,0.0
46,134,-2,-2,0.0
46,134,-2,-1,0.0
46,134,-2,0,0.0
46,134,-2,1,0.0
46,134,-1,-2,0.0
46,134,-1,-1,0.0
46,134,-1,0,0.0
46,134,-1,1,0.0
46,134,0,-2,0.0
46,134,0,-1,0.0
46,134,0,0,0.0
46,134,0,1,0.0
46,134,1,-2,0.0
46,134,1,-1,0.0
46,134,1,0,0.0
46,134,1,1,0.0
46,135,-2,-2,71623054.44212669
46,135,-2,-1,12758438.149351466
46,135,-2,0,0.0
46,135,-2,1,0.0
46,135,-1,-2,71461674.34506853
46,135,-1,-1,93996359.62636253
46,135,-1,0,39899703.66672167
46,135,-1,1,0.0
46,135,0,-2,0.0
46,135,0,-1,61148576.504344076
46,135,0,0,101787872.90575825
46,135,0,1,61094959.907043375
46,135,1,-2,0.0
46,135,1,-1,0.0
46,135,1,0,39973194.15334615
46,135,1,1,93871240.38356915
46,136,-2,-2,288834407.1584011
46,136,-2,-1,135179504.09819016
46,136,-2,0,0.0
46,136,-2,1,0.0
46,136,-1,-2,248280753.07167086
46,136,-1,-1,338274548.750944
46,136,-1,0,180298173.4672655
46,136,-1,1,27934708.984506305
46,136,0,-2,63985117.14090328
46,136,0,-1,219247886.5495296
46,136,0,0,369360069.0679838
46,136,0,1,219203915.82399005
46,136,1,-2,0.0
46,136,1,-1,27904838.15688288
46,136,1,0,180321606.28826004
46,136,1,1,338216425.86604714
